season,team_id,group_id,group_name,min,net_rating,off_rating,def_rating,pace,minutes_bucket,net_rating_bucket,pace_bucket
2023-24,1610612737,-203991-203992-1627749-1629631-1630552-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - J. Johnson,135.3,-2.6,104.3,107.0,106.58,low,average,very_fast
2023-24,1610612752,-1628384-1628392-1628404-1628973-1628978-,O. Anunoby - I. Hartenstein - J. Hart - J. Brunson - D. DiVincenzo,131.4,15.6,118.3,102.7,96.26,low,elite,average
2023-24,1610612762,-203903-1628374-1628381-1630534-1641718-,J. Clarkson - L. Markkanen - J. Collins - O. Agbaji - K. George,130.0,-7.8,111.8,119.6,100.79,low,poor,fast
2023-24,1610612758,-203084-1627734-1628368-1630537-1631099-,H. Barnes - D. Sabonis - D. Fox - C. Duarte - K. Murray,129.8,1.5,112.2,110.7,100.21,low,average,fast
2023-24,1610612750,-201144-203497-1626157-1629638-1630162-,M. Conley - R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards,124.5,7.6,110.6,103.1,101.03,low,good,fast
2023-24,1610612750,-201144-203497-203937-1630162-1630183-,M. Conley - R. Gobert - K. Anderson - A. Edwards - J. McDaniels,122.8,-12.5,95.7,108.2,100.44,low,poor,fast
2023-24,1610612741,-201942-202696-203897-1629632-1630172-,D. DeRozan - N. Vucevic - Z. LaVine - C. White - P. Williams,122.5,-5.5,115.9,121.4,98.57,low,poor,average
2023-24,1610612746,-201935-202331-202695-1626181-1627826-,J. Harden - P. George - K. Leonard - N. Powell - I. Zubac,121.3,18.4,121.3,102.9,99.29,low,elite,average
2023-24,1610612749,-201572-203081-203507-1626192-1627736-,B. Lopez - D. Lillard - G. Antetokounmpo - P. Connaughton - M. Beasley,120.3,21.7,117.4,95.7,111.32,low,elite,very_fast
2023-24,1610612739,-1627747-1627777-1629636-1630171-1630596-,C. LeVert - G. Niang - D. Garland - I. Okoro - E. Mobley,117.8,23.1,120.0,96.9,101.66,low,elite,fast
